Date,bike_sum_elliott
2018-01-31,20781.0
2018-02-28,18582.0
2018-03-31,33357.0
2018-04-30,33424.0
2018-05-31,56757.0
2018-06-30,50407.0
2018-07-31,62098.0
2018-08-31,48770.0
2018-09-30,40724.0
2018-10-31,32933.0
2018-11-30,24538.0
2018-12-31,17301.0
2019-01-31,28194.0
2019-02-28,11976.0
2019-03-31,35307.0
2019-04-30,33124.0
2019-05-31,49831.0
2019-06-30,47770.0
2019-07-31,51375.0
2019-08-31,58106.0
2019-09-30,43349.0
2019-10-31,37210.0
2019-11-30,30330.0
2019-12-31,21777.0
2020-01-31,20392.0
2020-02-29,27026.0
2020-03-31,27596.0
2020-04-30,39877.0
2020-05-31,43139.0
2020-06-30,39547.0
2020-07-31,47780.0
2020-08-31,46717.0
2020-09-30,30408.0
2020-10-31,27414.0
2020-11-30,19078.0
2020-12-31,18203.0
2021-01-31,17506.0
2021-02-28,13567.0
2021-03-31,24699.0
2021-04-30,34972.0
2021-05-31,39423.0
2021-06-30,41251.0
2021-07-31,45673.0
2021-08-31,0.0
2021-09-30,15210.0
2021-10-31,24154.0
2021-11-30,14648.0
2021-12-31,9894.0
2022-01-31,15515.0
2022-02-28,16787.0
2022-03-31,14060.0
2022-04-30,20150.0
2022-05-31,27716.0
2022-06-30,32402.0
